道具名称（暂时，方便对应）,道具id,道具分类,"是否为获得时立刻生效（被动生效、直到死亡）
0-否；1-是",可使用次数,可使用场景,"死亡复活是否重置 
0-不重置；1-重置",是否可快捷装备（0-不可 1-可）,是否可重复获得（0-不可 1-可）,可堆叠上限,"使用后是否永久生效直到死亡时重置判断
0-否；1-是","使用后生效时限(s)
（主动生效）",道具使用文案描述,道具本身文案描述,获取途径备注（不用读取上去）
灵魂余烬,101,1,0,1,001,0,1,1,99,0,4,使用后灯光值立刻+60，短时间内不会衰减,灵魂于黑暗中燃尽，希望自灯火中重生。,
封存的灯火,102,1,1,0,000,0,0,0,1,0,0,获得后，后续每次获得灯光值时额外获得10灯光值及其上限。,与时间共生，永不熄灭。,
几何拳套,103,1,0,1,001,0,1,1,99,0,0,使用后靠近特殊墙壁可砸碎,不属于这个时代的产物，能轻松破除一切障碍。,
虚空之钥,104,1,0,2,001,1,1,0,1,1,0,使用后有50%概率直接到达该层迷宫终点，也有50%概率回到起点。,优格的赠礼，链接现实与虚空的钥匙。,
发光的引路石,105,1,1,1,001,0,1,1,999,1,0,"在迷宫内使用时，原地放置一个会发光的石头照明周围3X3的格子。
引路石会永久保留在地图中。","随处可见的碎石，唯暗处浮起卑微荧光。
凡人终有一死，然总有愚者，愿以魂灵为烛泪，浇灌此石。",只会在死亡后总结里投放
生命交响曲,301,3,1,0,000,1,0,0,1,0,0,获得后灯光值+60,纱布的赠礼，生命的乐章永不停息。,
死亡狂想曲,302,3,0,1,001,0,1,1,99,0,10,使用后在迷宫内移动速度短时间翻倍。,死亡的恐惧，总能激发【生命】的潜能。,
混沌血清,303,3,0,1,111,0,1,1,99,0,0,使用后当前精神值+8,精神值太低可不是件好事。,
生息果实,401,4,0,1,111,0,1,1,99,1,0,使用后生命+20，上限+20,无根之树的果实之一，万一就差这一点生命呢。,
极乐果实,402,4,0,1,111,0,0,1,99,1,0,使用后防御+3，上限+3, 无根之树的果实之一，万一就差这一点防御呢。,
混沌果实,403,2,0,1,111,0,0,1,99,1,0,使用后力量+5，上限+5,无根之树的果实之一，某位神明掰手腕比赛的作弊利器。,
梦境蜜露,501,5,0,1,111,0,1,1,99,0,0,"当前生命值+25
（不会使其超过上限）",梦境酿制的生命琼浆，每一口都能尝到不同的味道。,
几何披风,502,5,1,0,000,1,0,0,1,0,0,获得后防御+10,披风上刻着一行小字：因为怕死就全点了防御！,
魔术帽,503,5,1,0,000,1,0,0,1,0,0,获得后闪避+10,帽檐绣着一行小字：因为怕死就全点了闪避！,
巨神戒指,504,5,1,0,000,1,0,0,1,0,0,获得后力量+10,巨神的遗物，封存着凡人无法想象的力量。,
骨瓷人偶,505,5,1,0,000,1,0,0,1,0,0,获得后精神值-10，生命值以及其上限+30,奈亚拉的赠礼，可爱但处处透露出诡异气息的人偶。,
木剑,506,5,1,0,000,1,0,0,1,0,0,获得后力量+15,一把平平无奇的木剑。,怪谈事件2002-选项1获得
宝剑,507,5,1,0,000,1,0,0,1,0,0,获得后力量+30,不断流出绿色液体的宝剑，令人感到不安。,怪谈事件2002-选项2获得
悖论骰,508,5,0,3,111,1,0,0,1,1,0,使用后随机获得以下影响：精神值+40、精神值+20、精神值不变、精神值变为10,命运的轮回，在骰子掷出的那一刻就已敲定。,
万能钥匙,509,5,0,1,000,0,0,1,99,0,0,用于解锁迷宫中的临时营地和捷径门。,一把骨头做的钥匙，能打开什么呢........,格子独立投放，不进任何渠道
返回骨片,510,5,0,1,001,0,1,1,99,0,0,"使用后：
在原地创建一个标记，然后回到安全屋。再次从安全屋进入关卡时直接回到之前的标记处。
（不重置地图内容）",用来逃脱险境的保命神器，这次逃过了，那么下次呢.......,
雕像（头）,511,5,1,0,000,0,0,0,1,0,0,持有该道具时：生命值以及生命值的上限+100，防御以及防御上限+15,臃肿而又丑陋的脑袋，那是克苏鲁雕像的头颅。,
雕像（身体）,512,5,1,0,000,0,0,0,1,0,0,持有该道具时：精神值+164，闪避率+25%,残破不堪的躯干，孕育着旺盛到诡异的生命力。,
雕像（底座）,513,5,1,0,000,0,0,0,1,0,0,"持有该道具时：
力量以及力量上限+20，暴击率以及暴击伤害+25%, 连击率增加35%",克苏鲁曾经的王座上，如今只有半个身子。,
"科拉佐斯的思绪
",514,5,1,0,000,0,0,0,1,0,0,"获得后：
若玩家处于在第一章迷宫的范围时获得以下增益——
①力量+100%
②生命值及其上限+25
③灯光值及其上限+150
",科拉佐斯虽然已身死，但祂的意念和思绪却让老鼠之间形成某种集体意志。,
"山岳的凝视
",515,5,1,0,000,0,0,0,1,0,0,"获得后：
若玩家处于在第二章迷宫的范围时获得以下增益——
①力量+100%
②防御力+25
③灯光值及其上限+150
",山岳之上是什么呢？同时。云层之上也投下了好奇的目光。,
达贡之眼,516,5,1,0,000,0,0,0,1,0,0,"持有该道具时：
每一次完成战斗事件以及怪谈事件之后都会使以下属性同时提高：
①力量，防御+8%
②生命值及其上限，灯光值及其上限+8%
③精神值+5
",,
丰饶降临,2011,2,1,0,000,1,0,0,1,1,0,获得本道具后，处于装备状态的所有怪谈装备当前耐久度及其上限+1,丰饶降临人间，万家喜得肉食。,
繁育心神,2012,2,1,0,000,1,0,0,1,1,0,获得本道具后，处于未装备状态的随机3件装备耐久度及其上限+3,来源于生物最原始的欲望之一。,
虚空的祝福,2013,2,0,2,111,1,1,0,1,0,0,使用后：当前生命值及其上限+100，防御及其上限+5,未知的祝福，真的就是好事吗？,
透视黑暗之眼,2014,2,0,1,111,1,1,0,1,0,0,使用后：当前灯光值与生命值以及他们的上限+50。,看不透黑暗也是一种幸运。,
惊喜盒子,2015,2,1,0,000,1,0,0,1,0,0,持有该道具时：每次战斗胜利后随机获得2件怪谈道具。,每次打开都有不同的惊喜。,读取对应的奖励表格（跟宝箱产出表一致）
祂的一撇,2016,2,1,0,000,1,0,0,1,0,0,持有该道具时：进入下一层关卡以及安全屋后，当前力量/防御/速度以及其上限随机一项属性+10,祂投来了一撇，不知道在打什么主意。,